# E = 3.5
# x, V(x), E + psi, E + |psi|^2
-5.000000e+00, 1.250000e+01, 3.500631e+00, 3.500000e+00
-4.989990e+00, 1.245000e+01, 3.500638e+00, 3.500000e+00
-4.979980e+00, 1.240010e+01, 3.500646e+00, 3.500000e+00
-4.969970e+00, 1.235030e+01, 3.500655e+00, 3.500000e+00
-4.959960e+00, 1.230060e+01, 3.500666e+00, 3.500000e+00
-4.949950e+00, 1.225100e+01, 3.500677e+00, 3.500000e+00
-4.939940e+00, 1.220150e+01, 3.500690e+00, 3.500000e+00
-4.929930e+00, 1.215210e+01, 3.500704e+00, 3.500000e+00
-4.919920e+00, 1.210281e+01, 3.500719e+00, 3.500001e+00
-4.909910e+00, 1.205361e+01, 3.500736e+00, 3.500001e+00
-4.899900e+00, 1.200451e+01, 3.500753e+00, 3.500001e+00
-4.889890e+00, 1.195551e+01, 3.500772e+00, 3.500001e+00
-4.879880e+00, 1.190661e+01, 3.500792e+00, 3.500001e+00
-4.869870e+00, 1.185782e+01, 3.500814e+00, 3.500001e+00
-4.859860e+00, 1.180912e+01, 3.500837e+00, 3.500001e+00
-4.849850e+00, 1.176052e+01, 3.500861e+00, 3.500001e+00
-4.839840e+00, 1.171202e+01, 3.500887e+00, 3.500001e+00
-4.829830e+00, 1.166363e+01, 3.500914e+00, 3.500001e+00
-4.819820e+00, 1.161533e+01, 3.500943e+00, 3.500001e+00
-4.809810e+00, 1.156714e+01, 3.500973e+00, 3.500001e+00
-4.799800e+00, 1.151904e+01, 3.501005e+00, 3.500001e+00
-4.789790e+00, 1.147104e+01, 3.501038e+00, 3.500001e+00
-4.779780e+00, 1.142315e+01, 3.501073e+00, 3.500001e+00
-4.769770e+00, 1.137535e+01, 3.501110e+00, 3.500001e+00
-4.759760e+00, 1.132766e+01, 3.501149e+00, 3.500001e+00
-4.749750e+00, 1.128006e+01, 3.501189e+00, 3.500001e+00
-4.739740e+00, 1.123257e+01, 3.501231e+00, 3.500002e+00
-4.729730e+00, 1.118517e+01, 3.501275e+00, 3.500002e+00
-4.719720e+00, 1.113788e+01, 3.501321e+00, 3.500002e+00
-4.709710e+00, 1.109068e+01, 3.501369e+00, 3.500002e+00
-4.699700e+00, 1.104359e+01, 3.501420e+00, 3.500002e+00
-4.689690e+00, 1.099659e+01, 3.501472e+00, 3.500002e+00
-4.679680e+00, 1.094970e+01, 3.501527e+00, 3.500002e+00
-4.669670e+00, 1.090291e+01, 3.501583e+00, 3.500003e+00
-4.659660e+00, 1.085621e+01, 3.501642e+00, 3.500003e+00
-4.649650e+00, 1.080962e+01, 3.501704e+00, 3.500003e+00
-4.639640e+00, 1.076313e+01, 3.501768e+00, 3.500003e+00
-4.629630e+00, 1.071674e+01, 3.501835e+00, 3.500003e+00
-4.619620e+00, 1.067044e+01, 3.501904e+00, 3.500004e+00
-4.609610e+00, 1.062425e+01, 3.501976e+00, 3.500004e+00
-4.599600e+00, 1.057816e+01, 3.502051e+00, 3.500004e+00
-4.589590e+00, 1.053217e+01, 3.502129e+00, 3.500005e+00
-4.579580e+00, 1.048627e+01, 3.502210e+00, 3.500005e+00
-4.569570e+00, 1.044048e+01, 3.502293e+00, 3.500005e+00
-4.559560e+00, 1.039479e+01, 3.502380e+00, 3.500006e+00
-4.549550e+00, 1.034920e+01, 3.502471e+00, 3.500006e+00
-4.539540e+00, 1.030371e+01, 3.502565e+00, 3.500007e+00
-4.529530e+00, 1.025832e+01, 3.502662e+00, 3.500007e+00
-4.519520e+00, 1.021303e+01, 3.502763e+00, 3.500008e+00
-4.509510e+00, 1.016784e+01, 3.502867e+00, 3.500008e+00
