# E = 0.5
# x, V(x), E + psi, E + |psi|^2
-2.000000e+00, 2.000000e+00, 6.457058e-01, 5.212302e-01
-1.995996e+00, 1.992000e+00, 6.462927e-01, 5.214016e-01
-1.991992e+00, 1.984016e+00, 6.468866e-01, 5.215757e-01
-1.987988e+00, 1.976048e+00, 6.474875e-01, 5.217526e-01
-1.983984e+00, 1.968096e+00, 6.480954e-01, 5.219323e-01
-1.979980e+00, 1.960160e+00, 6.487103e-01, 5.221147e-01
-1.975976e+00, 1.952241e+00, 6.493321e-01, 5.223001e-01
-1.971972e+00, 1.944337e+00, 6.499608e-01, 5.224883e-01
-1.967968e+00, 1.936449e+00, 6.505966e-01, 5.226793e-01
-1.963964e+00, 1.928577e+00, 6.512392e-01, 5.228733e-01
-1.959960e+00, 1.920722e+00, 6.518888e-01, 5.230702e-01
-1.955956e+00, 1.912882e+00, 6.525453e-01, 5.232701e-01
-1.951952e+00, 1.905058e+00, 6.532087e-01, 5.234729e-01
-1.947948e+00, 1.897251e+00, 6.538790e-01, 5.236787e-01
-1.943944e+00, 1.889459e+00, 6.545562e-01, 5.238876e-01
-1.939940e+00, 1.881683e+00, 6.552403e-01, 5.240995e-01
-1.935936e+00, 1.873924e+00, 6.559312e-01, 5.243145e-01
-1.931932e+00, 1.866180e+00, 6.566291e-01, 5.245327e-01
-1.927928e+00, 1.858453e+00, 6.573338e-01, 5.247539e-01
-1.923924e+00, 1.850742e+00, 6.580453e-01, 5.249783e-01
-1.919920e+00, 1.843046e+00, 6.587637e-01, 5.252059e-01
-1.915916e+00, 1.835367e+00, 6.594889e-01, 5.254367e-01
-1.911912e+00, 1.827704e+00, 6.602210e-01, 5.256708e-01
-1.907908e+00, 1.820056e+00, 6.609599e-01, 5.259081e-01
-1.903904e+00, 1.812425e+00, 6.617055e-01, 5.261487e-01
-1.899900e+00, 1.804810e+00, 6.624580e-01, 5.263926e-01
-1.895896e+00, 1.797211e+00, 6.632173e-01, 5.266399e-01
-1.891892e+00, 1.789627e+00, 6.639834e-01, 5.268906e-01
-1.887888e+00, 1.782060e+00, 6.647563e-01, 5.271446e-01
-1.883884e+00, 1.774509e+00, 6.655359e-01, 5.274021e-01
-1.879880e+00, 1.766974e+00, 6.663223e-01, 5.276631e-01
-1.875876e+00, 1.759455e+00, 6.671155e-01, 5.279276e-01
-1.871872e+00, 1.751952e+00, 6.679154e-01, 5.281956e-01
-1.867868e+00, 1.744465e+00, 6.687220e-01, 5.284671e-01
-1.863864e+00, 1.736994e+00, 6.695354e-01, 5.287423e-01
-1.859860e+00, 1.729539e+00, 6.703555e-01, 5.290210e-01
-1.855856e+00, 1.722100e+00, 6.711823e-01, 5.293034e-01
-1.851852e+00, 1.714678e+00, 6.720159e-01, 5.295895e-01
-1.847848e+00, 1.707271e+00, 6.728561e-01, 5.298792e-01
-1.843844e+00, 1.699880e+00, 6.737030e-01, 5.301727e-01
-1.839840e+00, 1.692505e+00, 6.745566e-01, 5.304700e-01
-1.835836e+00, 1.685147e+00, 6.754169e-01, 5.307711e-01
-1.831832e+00, 1.677804e+00, 6.762838e-01, 5.310760e-01
-1.827828e+00, 1.670477e+00, 6.771574e-01, 5.313847e-01
-1.823824e+00, 1.663167e+00, 6.780377e-01, 5.316974e-01
-1.819820e+00, 1.655872e+00, 6.789246e-01, 5.320140e-01
-1.815816e+00, 1.648594e+00, 6.798181e-01, 5.323345e-01
-1.811812e+00, 1.641331e+00, 6.807182e-01, 5.326591e-01
-1.807808e+00, 1.634085e+00, 6.816250e-01, 5.329876e-01
-1.803804e+00, 1.626854e+00, 6.825383e-01, 5.333202e-01
-1.799800e+00, 1.619640e+00, 6.834583e-01, 5.336569e-01
-1.795796e+00, 1.612441e+00, 6.843848e-01, 5.339978e-01
-1.791792e+00, 1.605259e+00, 6.853179e-01, 5.343427e-01
-1.787788e+00, 1.598093e+00, 6.862576e-01, 5.346919e-01
-1.783784e+00, 1.590942e+00, 6.872039e-01, 5.350453e-01
-1.779780e+00, 1.583808e+00, 6.881567e-01, 5.354029e-01
-1.775776e+00, 1.576690e+00, 6.891160e-01, 5.357649e-01
-1.771772e+00, 1.569588e+00, 6.900818e-01, 5.361311e-01
-1.767768e+00, 1.562501e+00, 6.910542e-01, 5.365017e-01
-1.763764e+00, 1.555431e+00, 6.920331e-01, 5.368767e-01
