# E = 2.41805
# x, V(x), psi, |psi|^2
-5.000000e+00 0.000000e+00 2.825153e+00 2.583784e+00
-4.990000e+00 0.000000e+00 2.829126e+00 2.587034e+00
-4.980000e+00 0.000000e+00 2.832899e+00 2.590150e+00
-4.970000e+00 0.000000e+00 2.836472e+00 2.593127e+00
-4.960000e+00 0.000000e+00 2.839842e+00 2.595959e+00
-4.950000e+00 0.000000e+00 2.843009e+00 2.598640e+00
-4.940000e+00 0.000000e+00 2.845970e+00 2.601166e+00
-4.930000e+00 0.000000e+00 2.848724e+00 2.603530e+00
-4.920000e+00 0.000000e+00 2.851270e+00 2.605730e+00
-4.910000e+00 0.000000e+00 2.853606e+00 2.607759e+00
-4.900000e+00 0.000000e+00 2.855732e+00 2.609616e+00
-4.890000e+00 0.000000e+00 2.857646e+00 2.611295e+00
-4.880000e+00 0.000000e+00 2.859347e+00 2.612794e+00
-4.870000e+00 0.000000e+00 2.860835e+00 2.614109e+00
-4.860000e+00 0.000000e+00 2.862109e+00 2.615239e+00
-4.850000e+00 0.000000e+00 2.863168e+00 2.616181e+00
-4.840000e+00 0.000000e+00 2.864012e+00 2.616933e+00
-4.830000e+00 0.000000e+00 2.864640e+00 2.617493e+00
-4.820000e+00 0.000000e+00 2.865053e+00 2.617862e+00
-4.810000e+00 0.000000e+00 2.865249e+00 2.618037e+00
-4.800000e+00 0.000000e+00 2.865229e+00 2.618019e+00
-4.790000e+00 0.000000e+00 2.864992e+00 2.617808e+00
-4.780000e+00 0.000000e+00 2.864540e+00 2.617403e+00
-4.770000e+00 0.000000e+00 2.863871e+00 2.616807e+00
-4.760000e+00 0.000000e+00 2.862987e+00 2.616019e+00
-4.750000e+00 0.000000e+00 2.861888e+00 2.615043e+00
-4.740000e+00 0.000000e+00 2.860574e+00 2.613878e+00
-4.730000e+00 0.000000e+00 2.859046e+00 2.612528e+00
-4.720000e+00 0.000000e+00 2.857305e+00 2.610996e+00
-4.710000e+00 0.000000e+00 2.855352e+00 2.609283e+00
