# E = 4.5
# x, V(x), psi, |psi|^2
-5.000000e+00 1.250000e+01 4.502079e+00 4.500004e+00
-4.990000e+00 1.245005e+01 4.502101e+00 4.500004e+00
-4.980000e+00 1.240020e+01 4.502127e+00 4.500005e+00
-4.970000e+00 1.235045e+01 4.502156e+00 4.500005e+00
-4.960000e+00 1.230080e+01 4.502189e+00 4.500005e+00
-4.950000e+00 1.225125e+01 4.502225e+00 4.500005e+00
-4.940000e+00 1.220180e+01 4.502264e+00 4.500005e+00
-4.930000e+00 1.215245e+01 4.502307e+00 4.500005e+00
-4.920000e+00 1.210320e+01 4.502354e+00 4.500006e+00
-4.910000e+00 1.205405e+01 4.502404e+00 4.500006e+00
-4.900000e+00 1.200500e+01 4.502457e+00 4.500006e+00
-4.890000e+00 1.195605e+01 4.502515e+00 4.500006e+00
-4.880000e+00 1.190720e+01 4.502576e+00 4.500007e+00
-4.870000e+00 1.185845e+01 4.502641e+00 4.500007e+00
-4.860000e+00 1.180980e+01 4.502709e+00 4.500007e+00
-4.850000e+00 1.176125e+01 4.502782e+00 4.500008e+00
-4.840000e+00 1.171280e+01 4.502859e+00 4.500008e+00
-4.830000e+00 1.166445e+01 4.502940e+00 4.500009e+00
-4.820000e+00 1.161620e+01 4.503025e+00 4.500009e+00
-4.810000e+00 1.156805e+01 4.503114e+00 4.500010e+00
-4.800000e+00 1.152000e+01 4.503208e+00 4.500010e+00
-4.790000e+00 1.147205e+01 4.503307e+00 4.500011e+00
-4.780000e+00 1.142420e+01 4.503409e+00 4.500012e+00
-4.770000e+00 1.137645e+01 4.503517e+00 4.500012e+00
-4.760000e+00 1.132880e+01 4.503630e+00 4.500013e+00
-4.750000e+00 1.128125e+01 4.503747e+00 4.500014e+00
-4.740000e+00 1.123380e+01 4.503870e+00 4.500015e+00
-4.730000e+00 1.118645e+01 4.503997e+00 4.500016e+00
-4.720000e+00 1.113920e+01 4.504131e+00 4.500017e+00
-4.710000e+00 1.109205e+01 4.504269e+00 4.500018e+00
-4.700000e+00 1.104500e+01 4.504413e+00 4.500019e+00
-4.690000e+00 1.099805e+01 4.504563e+00 4.500021e+00
-4.680000e+00 1.095120e+01 4.504719e+00 4.500022e+00
-4.670000e+00 1.090445e+01 4.504881e+00 4.500024e+00
-4.660000e+00 1.085780e+01 4.505050e+00 4.500025e+00
-4.650000e+00 1.081125e+01 4.505224e+00 4.500027e+00
-4.640000e+00 1.076480e+01 4.505405e+00 4.500029e+00
-4.630000e+00 1.071845e+01 4.505594e+00 4.500031e+00
-4.620000e+00 1.067220e+01 4.505789e+00 4.500034e+00
-4.610000e+00 1.062605e+01 4.505991e+00 4.500036e+00
-4.600000e+00 1.058000e+01 4.506200e+00 4.500038e+00
-4.590000e+00 1.053405e+01 4.506417e+00 4.500041e+00
-4.580000e+00 1.048820e+01 4.506642e+00 4.500044e+00
-4.570000e+00 1.044245e+01 4.506875e+00 4.500047e+00
-4.560000e+00 1.039680e+01 4.507116e+00 4.500051e+00
-4.550000e+00 1.035125e+01 4.507365e+00 4.500054e+00
-4.540000e+00 1.030580e+01 4.507623e+00 4.500058e+00
-4.530000e+00 1.026045e+01 4.507890e+00 4.500062e+00
-4.520000e+00 1.021520e+01 4.508166e+00 4.500067e+00
-4.510000e+00 1.017005e+01 4.508451e+00 4.500071e+00
-4.500000e+00 1.012500e+01 4.508746e+00 4.500076e+00
-4.490000e+00 1.008005e+01 4.509050e+00 4.500082e+00
-4.480000e+00 1.003520e+01 4.509365e+00 4.500088e+00
-4.470000e+00 9.990450e+00 4.509690e+00 4.500094e+00
-4.460000e+00 9.945800e+00 4.510026e+00 4.500101e+00
-4.450000e+00 9.901250e+00 4.510372e+00 4.500108e+00
-4.440000e+00 9.856800e+00 4.510730e+00 4.500115e+00
-4.430000e+00 9.812450e+00 4.511100e+00 4.500123e+00
-4.420000e+00 9.768200e+00 4.511481e+00 4.500132e+00
-4.410000e+00 9.724050e+00 4.511874e+00 4.500141e+00
-4.400000e+00 9.680000e+00 4.512280e+00 4.500151e+00
-4.390000e+00 9.636050e+00 4.512698e+00 4.500161e+00
-4.380000e+00 9.592200e+00 4.513129e+00 4.500172e+00
-4.370000e+00 9.548450e+00 4.513574e+00 4.500184e+00
-4.360000e+00 9.504800e+00 4.514033e+00 4.500197e+00
-4.350000e+00 9.461250e+00 4.514505e+00 4.500210e+00
-4.340000e+00 9.417800e+00 4.514992e+00 4.500225e+00
-4.330000e+00 9.374450e+00 4.515494e+00 4.500240e+00
-4.320000e+00 9.331200e+00 4.516011e+00 4.500256e+00
-4.310000e+00 9.288050e+00 4.516543e+00 4.500274e+00
-4.300000e+00 9.245000e+00 4.517091e+00 4.500292e+00
-4.290000e+00 9.202050e+00 4.517655e+00 4.500312e+00
-4.280000e+00 9.159200e+00 4.518236e+00 4.500333e+00
-4.270000e+00 9.116450e+00 4.518834e+00 4.500355e+00
-4.260000e+00 9.073800e+00 4.519449e+00 4.500378e+00
-4.250000e+00 9.031250e+00 4.520083e+00 4.500403e+00
-4.240000e+00 8.988800e+00 4.520734e+00 4.500430e+00
-4.230000e+00 8.946450e+00 4.521404e+00 4.500458e+00
-4.220000e+00 8.904200e+00 4.522093e+00 4.500488e+00
-4.210000e+00 8.862050e+00 4.522801e+00 4.500520e+00
-4.200000e+00 8.820000e+00 4.523529e+00 4.500554e+00
-4.190000e+00 8.778050e+00 4.524278e+00 4.500589e+00
-4.180000e+00 8.736200e+00 4.525047e+00 4.500627e+00
-4.170000e+00 8.694450e+00 4.525838e+00 4.500668e+00
-4.160000e+00 8.652800e+00 4.526650e+00 4.500710e+00
-4.150000e+00 8.611250e+00 4.527485e+00 4.500755e+00
-4.140000e+00 8.569800e+00 4.528342e+00 4.500803e+00
-4.130000e+00 8.528450e+00 4.529222e+00 4.500854e+00
-4.120000e+00 8.487200e+00 4.530126e+00 4.500908e+00
-4.110000e+00 8.446050e+00 4.531053e+00 4.500964e+00
-4.100000e+00 8.405000e+00 4.532005e+00 4.501024e+00
-4.090000e+00 8.364050e+00 4.532983e+00 4.501088e+00
-4.080000e+00 8.323200e+00 4.533985e+00 4.501155e+00
-4.070000e+00 8.282450e+00 4.535014e+00 4.501226e+00
-4.060000e+00 8.241800e+00 4.536069e+00 4.501301e+00
